id,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,uniq_ratio
244,jason derulo,jason derulo,34,whatcha say,2009,,whatcha say,jason derulo,wha wha wha wha what did you say mmmm whatcha say mmm that you only meant well well of course you did mmmm whatcha say mmmm that its all for the best of course it is only tryna please myself when i dont really want no one else so no i know i should have treated you better so let me in to really be your man cause when the roof caved in and the truth came out i just didnt know what to do but when i become a star well be living so large ill do anything for you so tell me girl mmmm whatcha say mmmm that you only meant well well of course you did mmmm whatcha say mmmm that its all for the best of course it is mmmm whatcha say mmmm that you only meant well well of course you did mmmm whatcha say wha wha wha wha what did you say knowing that i let our love go i just gotta let you know i know what i did wasnt clever but me and you were meant to be together so let me in to really be your man cause when the roof caved in and the truth came out i just didnt know what to do but when i become a star well be living so large ill do anything for you so tell me girl mmmm whatcha say mmmm that you only meant well well of course you did mmmm whatcha say mmmm that its all for the best of course it is mmmm whatcha say mmmm that you only meant well well of course you did mmmm whatcha say wha wha wha wha what did you say i dont want you to leave me though you caught me cheating tell me tell me what to say i i really need you in my life cause things aint right girl girl tell me what to say i i dont want you to leave me though you caught me cheating tell me tell me what to say i i really need you in my life cause things aint right cause when the roof caved in and the truth came out i just didnt know what to do but when i become a star well be living so large ill do anything for you so baby whatcha say mmmm whatcha say mmmm that you only meant well well of course you did mmmm whatcha say mmmm that its all for the best of course it is mmmm that you only meant well well of course you did wha wha wha wha what did you say,0.0444,0.615,0.711,0,0,11,0.145,-5.507,1,63,0.0779,144.036,4,0.711,3.68755,442,1.997713025,85,5.2
245,jordin sparks,jordin sparks,57,battlefield,2009,,battlefield,jordin sparks,dont try to explain your mind i know whats happening here one minute its love and suddenly its like a battle field one word turns into war why is it the smallest things that tear us down my worlds nothing when youre gone im out here without a shield cant go back now both hands tied behind my back for nothing oh no these times when we climb so fast to fall again why we gotta fall for it now i never meant to start a war you know i never wanna hurt you dont even know what were fighting for why does love always feel like a battlefield a battlefield why does love always feel like a battlefield a battlefield why does love always feel like cant swallow our pride neither of us wanna raise that flag if we cant surrender then we both gonna lose what we had oh no both hands tied behind my back for nothing oh no these times when we climb so fast to fall again i dont wanna fall for it now i never meant to start a war you know i never wanna hurt you dont even know what were fighting for why does love always feel like a battlefield a battlefield why does love always feel like a battlefield a battlefield get your armor get your armor i guess you better go and get your we could pretend that we are friends tonight and in the morning wed wake up and wed be alright cause baby we dont have to fight and i dont want this love to feel like a battlefield why does love always feel like a battlefield a battlefield guess you better go and get your armor i never meant to start a war you know i never wanna hurt you dont even know what were fighting for why does love always feel like a battlefield a battlefield why does love always feel like a battlefield a battlefield get your armor get your armor why does love always feel like why does love always feel like a battlefield i never meant to start a war dont even know what were fighting for i never meant to start a war dont even know what were fighting for,0.0178,0.613,0.634,0,0,2,0.0719,-3.472,1,60,0.0339,144.953,4,0.37,4.022466667,378,1.566203159,114,3.315789474
246,jim jones  featuring  ron browz  and  juelz santana,jim jones,98,pop champagne,2009,ron browz  and  juelz santana,pop champagne,jim jones,ether boy hey how we ball in the club i know you hate it mommy dancin on the floor all like she naked when she lay down with you i know she fake it all the girls give it to me i aint gotta take it ohhhh pop champagne ohhhh pop champagne ohhhh we pop champagne ohhhh we pop champagne we need more bottles tell ma hurry up tell em ron browz here hottest in america gimme sixteen bars and you know i tear it up know its me when you see this fur in your area and she call me all night cause you can get it up on my neck on my wrist everything is litted up drinkin bottles of that clicquot till i spit it up only get one life so you gotta live it up if you in the things im in shorty we can be friends shorty we can be friends right now i wanna see you dance see you dance i wanna see you dance see you dance i wanna see you dance see you dance i wanna see you dance see you dance brand new rarri and the roof drop back money in the bank man you know dont stop that now we tryin to get up in the club tell em we only want tables and we buyin out the bottles only petron and a couple of lemons we standin on couches a couple of women he told shorty we could be friends and we could do this on the weekend or on the weekday we could do this on the freeway and get it in the freak way shit we could get in on three way we superstars no lupe we could do this like a duet but yall be the singers on the mic wait let me dim the lights this was in the car while i was stoppin at the light how we ball in the club i know you hate it mommy dancin on the floor all like she naked when she lay down with you i know she fake it all the girls give it to me i aint gotta take it ohhhh pop champagne ohhhh pop champagne ohhhh we pop champagne ohhhh we pop champagne without no shirt without those pants pop champagne aint a damn thing change spray it in the air make it champagne rain buckets of ice keep the champagne cool mommy got a body see that damn thing move its no sex in the champagne room says who baby ill break all rules bring it here and ill break off you she see me in v i p and wanna break on through when she with you she lyin but she fake it when she with me she like it she never fake it i wanna see you dance see you dance i wanna see you dance see you dance i wanna see you dance see you dance i wanna see you dance see you dance how we ball in the club i know you hate it mommy dancin on the floor all like she naked when she lay down with you i know she fake it all the girls give it to me i aint gotta take it ohhhh pop champagne ohhhh pop champagne ohhhh we pop champagne ohhhh we pop champagne,0.03,0.61,0.431,1,0,0,0.099,-6.73,1,43,0.294,136.878,3,0.463,3.59955,561,2.597546916,179,3.134078212
247,pink,pink,38,sober,2009,,sober,pink,i dont wanna be the girl who laughs the loudest or the girl who never wants to be alone i dont wanna be that call at 4 oclock in the morning cause im the only one you know in the world that wont be home ah the sun is blinding i stayed up again oh i am finding thats not the way i want my story to end im safe up high nothing can touch me but why do i feel this partys over no pain inside youre my protection but how do i feel this good sober i dont wanna be the girl that has to fill the silence the quiet scares me cause it screams the truth please dont tell me that we had that conversation i wont remember save your breath cause whats the use ah the night is calling and it whispers to me softly come and play ah i am falling and if i let myself go im the only one to blame im safe up high nothing can touch me but why do i feel this partys over no pain inside youre my protection but how do i feel this good sober coming down coming down coming down spinning round spinning round spinning round looking for myself sober coming down coming down coming down spinning round spinning round spinning round looking for myself sober when its good then its good its so good till it goes bad till youre trying to find the you that you once had i have heard myself cry never again broken down in agony just trying to find a friend oh oh im safe up high nothing can touch me but why do i feel this partys over no pain inside youre my protection but how do i feel this good sober oh oh im safe up high nothing can touch me but why do i feel this partys over no pain inside youre like protection but how do i feel this good sober will i ever feel this good sober tell me no no no no no pain how do i feel this good sober,0.0753,0.609,0.791,0,0,6,0.21,-4.887,1,58,0.0312,90.948,4,0.395,4.192216667,357,1.419296872,127,2.811023622
248,cobra starship  featuring  leighton meester,cobra starship,43,good girls go bad,2009,leighton meester,good girls go bad,cobra starship,i make them good girls go bad i make them good girls go good girls go bad good girls go bad i know your type yeah daddys little girl just take a bite let me shake up your world cause just one night couldnt be so wrong im going to make you lose control she was so shy til i drove her wild i make them good girls go bad i make them good girls go bad you were hanging in the corner with your five best friends you heard that i was trouble but you couldnt resist i make them good girls go bad i make them good girls go good girls go bad good girls go bad good girls go i know your type boy youre dangerous yeah youre that guy id be stupid to trust but just one night couldnt be so wrong you make me want to lose control she was so shy til i drove her wild i make them good girls go bad i make them good girls go bad i was hanging in the corner with my five best friends i knew that you were trouble but i couldnt resist i make them good girls go bad i make them good girls go good girls go bad good girls go bad good girls go bad oh she got a way with them boys in the place treat em like they dont stand a chance and he got a way with them girls in the back actin like they too hot to dance oh she got a way with them boys in the place treat em like they dont stand a chance and he got a way with them girls in the back actin like they too hot to dance i make them good girls go bad i make them good girls go bad you were hanging in the corner with your five best friends you heard that i was trouble but you couldnt resist i make them good girls go bad i make them good girls go good girls go bad good girls go bad good girls go,0.0116,0.594,0.874,0,0,0,0.549,-3.716,1,63,0.0815,119.964,4,0.628,3.27355,355,1.807416006,86,4.127906977
249,keri hilson  featuring  kanye west  and  ne-yo,keri hilson,15,knock you down,2009,kanye west  and  ne-yo,knock you down,keri hilson,not again this aint supposed to happen to me keep rocking and keep knocking whether you louboutind up or reebokin you see the hate that theyre serving on a platter so what we gonna have dessert or disaster i never thought id be in love like this when i look at you my mind goes on a trip then you came in and knocked me on my face feels like in im a race but i already won first place i never thought id fall for you as hard as i did you got me thinking bout our life our house and kids every morning i look at you and smile cause boy you came around and you knocked me down knocked me down sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down i never thought id hear myself say yall go ahead i think im gonna kick it with my girl today i used to be commander in chief of my pimp ship flying high til i met this pretty little missile that shot me out the sky hey so now im crashing dont know how it happened but i know it feels so damn good said if i could go back and make it happen faster dont you know i would baby if i could miss independent to the fullest the load never too much she helping me pull it she shot the bullet that ended that life i swear to you the pimp in me just died tonight girl sometimes love sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down tell me now can you make it past your caspers so we can finally fly off into nasa you was always the cheerleader of my dream that seem to only date the head of football teams and i was the class clown that always kept you laughing we were never meant to be baby we just happened so please dont mess up the trick hey young world im the new slick rick they say i move too quick but we cant let this moment pass us let the hourglass pass right into ashes let the wind blow the ash right before my glasses so i wrote this love letter right before my classes how could a goddess ask someone thats only average for advice omg you listen to that bitch woe is me baby this is tragic cause we had it we was magic i was flying now im crashing this is bad real bad michael jackson now im mad real mad joe jackson you should leave your boyfriend now im gon ask him so you gotta take the good with the bad happy and the sad and let it bring a better future than i had in the past oh cause i dont wanna make the same mistakes i did i dont wanna fall back on my face again ill admit it i was scared to act to loves call and if it hits better make it worth the fall sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you down knocks you down wont see it coming when it happens but when it happens youre gonna feel it let me tell you now you see when love comes and knocks you down yeah wont see it coming when it happens but when it happens youre gonna feel it let me tell you now you see when love comes and knocks you down yeah,0.0124,0.593,0.883,0,0,8,0.177,-4.781,1,66,0.186,155.171,4,0.671,5.43645,672,2.06016794,248,2.709677419
250,pink,pink,52,please don't leave me,2009,,please dont leave me,pink,da da da da da da da da da da da da da i dont know if i can yell any louder how many times have i kicked you out of here or said something insulting da da da da da i can be so mean when i wanna be i am capable of really anything i can cut you into pieces when my heart is broken da da da da da please dont leave me please dont leave me i always say how i dont need you but its always gonna come right back to this please dont leave me how did i become so obnoxious what is it with you that makes me act like this ive never been this nasty cant you tell that this is all just a contest the one that wins will be the one that hits the hardest but baby i dont mean it i mean it i promise baby da da da da da please dont leave me please dont leave me i always say how i dont need you but its always gonna come right back to this please dont leave me i forgot to say out loud how beautiful you really are to me i cannot be without you are my perfect little punching bag and i need you i am sorry da da da da da da da da da da da da da please dont leave me i always say how i dont need you but its always gonna come right back to this please dont leave me please dont leave me i always say how i dont need you but its always gonna come right back to this please dont leave me baby please please dont leave me,0.00971,0.591,0.841,0,0,6,0.262,-4.498,1,57,0.0375,138.037,4,0.751,3.859333333,291,1.256693729,92,3.163043478
251,owl city,owl city,60,fireflies,2009,,fireflies,owl city,you would not believe your eyes if ten million fireflies lit up the world as i fell asleep cause theyd fill the open air and leave teardrops everywhere youd think me rude but i would just stand and stare id like to make myself believe that planet earth turns slowly its hard to say that id rather stay awake when im asleep cause everything is never as it seems cause id get a thousand hugs from ten thousand lightning bugs as they tried to teach me how to dance a foxtrot above my head a sock hop beneath my bed the disco ball is just hanging by a thread id like to make myself believe that planet earth turns slowly its hard to say that id rather stay awake when im asleep cause everything is never as it seems leave my door open just a crack cause i feel like such an insomniac why do i tire of counting sheep to ten million fireflies im weird cause i hate goodbyes i got misty eyes as they said farewell but ill know where several are if my dreams get real bizarre cause i saved a few and i keep them in a jar id like to make myself believe that planet earth turns slowly its hard to say that id rather stay awake when im asleep cause everything is never as it seems id like to make myself believe that planet earth turns slowly its hard to say that id rather stay awake when im asleep cause everything is never as it seems id like to make myself believe that planet earth turns slowly its hard to say that id rather stay awake when im asleep because my dreams are bursting at the seams,0.0294,0.591,0.649,0,0,3,0.133,-6.72,1,71,0.0417,90.002,4,0.489,3.805783333,293,1.283134878,120,2.441666667
252,taylor swift,taylor swift,76,white horse,2009,,white horse,taylor swift,say youre sorry that face of an angel comes out just when you need it to as i paced back and forth all this time cause i honestly believed in you holdin on the days drag on stupid girl i shoulda known i shoulda known that im not a princess this aint a fairytale im not the one youll sweep off her feet lead her up the stairwell this aint hollywood this is a small town i was a dreamer before you went and let me down now its too late for you and your white horse to come around baby i was naive got lost in your eyes and never really had a chance my mistake i didnt know to be in love you had to fight to have the upper hand i had so many dreams about you and me happy endings now i know that im not a princess this aint a fairytale im not the one youll sweep off her feet lead her up the stairwell this aint hollywood this is a small town i was a dreamer before you went and let me down now its too late for you and your white horse to come around and there you are on your knees beggin for forgiveness beggin for me just like i always wanted but im so sorry cause im not your princess this aint our fairytale im gonna find someone someday who might actually treat me well this is a big world that was a small town there in my rear view mirror disappearing now and its too late for you and your white horse now its too late for you and your white horse to catch me now oh whoa whoa whoa try and catch me now oh its too late to catch me now,0.356,0.583,0.354,0,0,0,0.101,-7.875,1,60,0.0254,92.526,4,0.199,3.907116667,303,1.292513234,128,2.3671875
253,zac brown band,zac brown band,81,chicken fried,2009,,chicken fried,zac brown band,you know i like my chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well i was raised up beneath the shade of a georgia pine and thats home you know sweet tea pecan pie and homemade wine where the peaches grow and my house its not much to talk about but its filled with love thats grown in southern ground and a little bit of chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well ive seen the sun rise see the love in my womans eyes feel the touch of a precious child and know a mothers love its funny how its the little things in life that mean the most not where you live what you drive or the price tag on your clothes theres no dollar sign on a piece of mind this ive come to know so if you agree have a drink with me raise you glasses for a toast to a little bit of chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well ive seen the sun rise see the love in my womans eyes feel the touch of a precious child and know a mothers love i thank god for my life and for the stars and stripes may freedom forever fly let it ring salute the ones who died the ones that give their lives so we dont have to sacrifice all the things we love like our chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well ive seen the sun rise see the love in my womans eyes feel the touch of a precious child and know a mothers love get your little chicken fried cold beer on a friday night a pair of jeans that fit just right and the radio up well ive seen the sun rise see the love in my womans eyes feel the touch of a precious child and know a mothers love,0.645,0.566,0.713,0,0,6,0.114,-4.25,1,74,0.0417,169.864,4,0.807,3.969116667,364,1.528467711,127,2.866141732
254,maxwell,maxwell,99,pretty wings,2009,,pretty wings,maxwell,time will bring the real end of our trial one day theyll be no remnants no trace no residual feelings within ya one day you wont remember me your face will be the reason i smile but i will not see what i cannot have foreva ill always love ya i hope you feel the same oh you played me dirty your game was so bad you toyed with my affliction had to fill out my prescription found the remedy i had to set you free away from me to see clearly the way that love can be when you are not with me i had to leave i have to live i had to lead i had to live if i cant have you let love set you free to fly your prettywings around prettywings your prettywings your prettywings around i came wrong you were right transformed your love into light baby believe me im sorry i told you lies i turned day into night sleep till i died a thousand times i shoulda showed you better night better times better days and i miss you more and more if i cant have you let love set you free to fly your prettywings around prettywings your prettywings your prettywings your prettywings around so prettywings your prettywings around prettywings your prettywings around say prettywings oh prettywings yeah prettywings your prettywings around prettywings your prettywings around yeah ay ay ay prettywings your prettywings around pretty pretty pretty someone betters gonna love you prettywings your prettywings around someone someones gonna love you baby prettywings your prettywings around yeah oh ooh prettywings your prettywings around pretty pretty prett tay pretay tay wings prettywings your prettywings around ah yeah pretty woah yeah ah prettywings your prettywings around,0.252,0.563,0.402,0,2.07E-06,9,0.0886,-10.496,1,57,0.0668,115.561,4,0.2,5.175333333,293,0.943578514,122,2.401639344
255,the veronicas,the veronicas,69,untouched,2009,,untouched,the veronicas,i go ooh ooh you go ah ah lalalala lalalala i cant lie lie lie lie lie lie i wanna wanna wanna get get get what i want dont stop give me give me give me what you got got cause i cant wait wait wait anymore more more more dont even talk about the consequence cause right now youre the only thing thats making any sense to me and i dont give a damn what they say what they think think cause youre the only one whos on my mind ill never ever let you leave me ill try to stop time for ever never wanna hear you say goodbye i feel so untouched and i want you so much that i just cant resist you its not enough to say that i miss you i feel so untouched right now need you so much somehow i cant forget you been going crazy from the moment i met you untouched and i need you so much see you breathe you i want to be you alalalala alalalala you can take take take take take time time to live live the way you gotta gotta live your life give me give me give me all of you you dont be scared ill see you through the loneliness of one more more more dont even think about whats right or wrong or wrong or right cause in the end its only you and me and no one else is gonna be around to answer all the questions left behind and you and i are meant to be so even if the world falls down today youve still got me to hold you up up and i will never let you down i feel so untouched and i want you so much that i just cant resist you its not enough to say that i miss you i feel so untouched right now need you so much somehow i cant forget you been going crazy from the moment i met you untouched untouched untouched untouched untouched alalalala alalalala untouched alalalala alalalala i feel so untouched and i want you so much that i just cant resist you its not enough to say that i miss you i feel so untouched right now need you so much somehow i cant forget you been going crazy from the moment i met you i feel so untouched and i want you so much that i just cant resist you its not enough to say that i miss you i feel so untouched right now need you so much somehow i cant forget you been going crazy from the moment i met you untouched untouched untouched,0.0171,0.557,0.783,0,0.0172,6,0.151,-4.893,0,61,0.234,177.008,4,0.442,4.256,450,1.762218045,119,3.781512605
256,rob thomas,rob thomas,85,her diamonds,2009,,her diamonds,rob thomas,oh what the hell she says i just cant win for losing and she lays back down man theres so many times i dont know what im doin like i dont know now and by the light of the moon she rubs her eyes says its funny how the night can make you blind i can just imagine and i dont know what im supposed to do but if she feels bad then i do too so i let her be and she says ooh i cant take no more her tears like diamonds on the floor and her diamonds bring me down cause i cant help her now shes down in it she tried her best and now she cant win its hard to see them on the ground her diamonds falling down way down well she sits down and stares into the distance and it takes all night and i know i could break her concentration oh but it dont feel right so by the light of the moon she rubs her eyes sits down on the bed and starts to cry and theres something less about her and i dont know what im supposed to do so i sit down and i cry too but dont let her see and she says ooh i cant take no more her tears like diamonds on the floor and her diamonds bring me down cause i cant help her now shes down in it she tried her best and now she cant win its hard to see them on the ground her diamonds falling down she shuts out the night and tries to close her eyes if she can find daylight then shell be all right shell be all right just not tonight and she says ooh i cant take no more her tears like diamonds on the floor and her diamonds bring me down cause i cant help her now shes down in it she tried her best and now she cant win its hard to see them on the ground her diamonds falling oh i cant take no more her tears like diamonds on the floor and her diamonds bring me down cause i cant help her now she down with it she tried her best and now she cant win its hard to see them on the ground her diamonds falling down i cant take no more diamonds on the floor diamonds falling down i cant take no more diamonds on the floor diamonds falling down yeah i cant take no more diamonds on the floor diamonds falling over her diamonds falling down i cant take this diamonds falling down,0.0159,0.555,0.924,0,0,7,0.075,-4.93,1,57,0.0604,87.606,4,0.865,4.666666667,443,1.582142857,109,4.064220183
257,"drake  featuring  kanye west ,  lil wayne  and  eminem",drake,88,forever,2009,"kanye west ,  lil wayne  and  eminem",forever,drake,it may not mean nothin to yall but understand nothin was done for me so i dont plan on stoppin at all i want this shit forever man im shuttin shit down in the mall and tellin every girl she the one for me and i aint even plannin to call i want this shit forever man last name ever first name greatest like a sprained ankle boy i aint nothin to play with started off local but thanks to all the haters i know g iv pilots on a first name basis in your city faded off the brown nino she insist she got more class we know swimmin in the money come and find me nemo if i was at the club you know i balled chemo dropped the mixtape that shit sounded like an album whod have thought a countrywide tour be the outcome labels want my name beside a x like malcolm everybody got a deal i did it without one yeah nigga im about my business killin all these rappers you would swear i had a hit list everyone who doubted me is askin for forgiveness if you aint been a part of it at least you got to witness bitches it may not mean nothin to yall but understand nothin was done for me so i dont plan on stoppin at all i want this shit forever man im shuttin shit down in the mall and tellin every girl she the one for me and i aint even plannin to call i want this shit forever man ever ever mr west is in the buildin aint no question who about to kill em i used to have hood dreams big fame big chains i stuck my dick inside this life until that bitch came and went hard all fall like the ball teams just so i can make it rain all spring yall seen my story my glory i had raped the game young you can call it statutory when a nigga blow up they gonna build statues for me old money benjamin button what nothin now super bad chicks givin me mclovin you would think i ran the world like michelles husband you would think these niggas know me when they really doesnt like they was down with the old me no you fuckin wasnt um youre such a fuckin loser he aint even go to class bueller trade the grammy plaques just to have my granny back remember she had that bad hip like a fanny pack chasin the stardom will turn you to a maniac all the way in hollywood and i cant even act they pull the cameras out and goddamn he snap i used to want this thing forever yall can have it back it may not mean nothin to yall but understand nothin was done for me so i dont plan on stoppin at all i want this shit forever man im shuttin shit down in the mall and tellin every girl she the one for me and i aint even plannin to call i want this shit forever man okay hello its the martian space jam jordans i want this shit forever wake up and smell the garden fresher than the harvest step up to the target if i had one guess then i guess im just new orleans and i will never stop like im runnin from the cops hop up in my car and told my chauffeur to the top life is such a fuckin roller coaster then it drops but what should i scream for this is my theme park my mind shine even when my thoughts seem dark pistol on my side you dont wanna hear that thing talk let the king talk check the price and pay attention lil wayne thats what they gotta say or mention im like nevada in the middle of the summer im restin in the lead i need a pillow and a cover shhh my foots sleepin on the gas no brake pads no such thing as last uh it may not mean nothin to yall but understand nothin was done for me so i dont plan on stoppin at all i want this shit forever man im shuttin shit down in the mall and tellin every girl she the one for me and i aint even plannin to call i want this shit forever man there they go packin stadiums as shady spits his flow nuts they go macadamian they go so ballistic whoa he can make them look like bozos hes wonderin if he should spit this slow fuck no go for broke his cup just runneth over oh no he aint had him a buzz like this since the last time that he overdosed they been waitin patiently for pinocchio to poke his nose back into the game and they know rap will never be same as befo bashin in the brains of these hoes and establishin the name as he goes the passion in the flame is ignited you cant put it out once we light it this shit is exactly what the fuck that im talkin about when we riot you dealin with a few true villains who stand inside of a booth truth spillin and spit true feelings until our tooth fillings come flyin up outta of our mouths now rewind it pay back motherfucker for the way that you got at me hows it taste when i slap the taste outta your mouth with the bass so loud that it shakes the place im hannibal lecter so just in case youre thinkin of savin face you aint gonna have no face to save by the time im through with this place so drake it may not mean nothin to yall but understand nothin was done for me so i dont plan on stoppin at all i want this shit forever man im shuttin shit down in the mall and tellin every girl she the one for me and i aint even plannin to call i want this shit forever man,0.244,0.544,0.92,1,0,5,0.19,-1.474,0,69,0.277,105.307,5,0.519,5.955783333,1020,2.854368443,387,2.635658915
258,nickelback,nickelback,51,gotta be somebody,2009,,gotta be somebody,nickelback,this time i wonder what it feels like to find the one in this life the one we all dream of but dreams just arent enough so ill be waiting for the real thing ill know it by the feeling the moment when were meeting will play out like a scene straight off the silver screen so ill be holding my breath right up til the end until that moment when i find the one that ill spend forever with cause nobody wants to be the last one there cause everyone wants to feel like someone cares someone to love with my life in their hands theres got to be somebody for me like that cause nobody wants to do it on their own and everyone wants to know theyre not alone theres somebody else that feels the same somewhere theres got to be somebody for me out there tonight out on the street out in the moonlight and dammit this feels too right its just like déja vu me standing here with you so ill be holding my breath could this be the end is it that moment when i find the one that ill spend forever with cause nobody wants to be the last one there cause everyone wants to feel like someone cares someone to love with my life in their hands theres got to be somebody for me like that cause nobody wants to do it on their own and everyone wants to know theyre not alone theres somebody else that feels the same somewhere theres got to be somebody for me out there a diamond in the rough cause it could be the one the one youre waiting on cause nobody wants to be the last one there and everyone wants to feel like someone cares someone to love with my life in their hands theres got to be somebody for me oh nobody wants to go it on their own and everyone wants to know theyre not alone theres somebody else that feels the same somewhere theres got to be somebody for me out there nobody wants to be the last one there cause everyone wants to feel like someone cares theres somebody else that feels the same somewhere theres got to be somebody for me out there,0.000354,0.536,0.89,0,0.00165,0,0.133,-5.222,1,63,0.0601,115.998,4,0.205,4.210883333,384,1.519871128,102,3.764705882
259,kelly clarkson,kelly clarkson,23,my life would suck without you,2009,,my life would suck without you,kelly clarkson,guess this means youre sorry youre standing at my door guess this means you take back all you said before like how much you wanted anyone but me said youd never come back but here you are again cause we belong together now yeah forever united here somehow yeah you got a piece of me and honestly my life without you maybe i was stupid for telling you goodbye maybe i was wrong for trying to pick a fight i know that ive got issues but youre pretty messed up too either way i found out im nothing without you cause we belong together now yeah forever united here somehow yeah you got a piece of me and honestly my life without you being with you is so dysfunctional i really shouldnt miss you but i cant let you go oh yeah cause we belong together now yeah forever united here somehow yeah you got a piece of me and honestly my life without you cause we belong together now yeah forever united here somehow yeah you got a piece of me and honestly my life without you,0.0014,0.526,0.882,0,0,9,0.144,-4.006,1,64,0.0509,144.982,4,0.424,3.524883333,188,0.888918309,83,2.265060241
260,katy perry,katy perry,36,waking up in vegas,2009,,waking up in vegas,katy perry,you got to help me out its all a blur last night we need a taxi cause youre hungover and im broke i lost my fake i d but you lost the motel key spare me your freaking dirty looks now dont blame me you wanna cash out and get the hell outta town don t be a baby remember what you told me shut up and put your money where your mouth is thats what you get for waking up in vegas get up and shake the glitter off your clothes now thats what you get for waking up in vegas why are these lights so bright oh did we get hitched last night dressed up like elvis why am i wearing your class ring don t call your mother cause now we re partners in crime don t be a baby remember what you told me shut up and put your money where your mouth is thats what you get for waking up in vegas get up and shake the glitter off your clothes now thats what you get for waking up in vegas you got me into this information overload situation lost control send out an s o s and get some cash out we re gonna tear up the town no don t be a baby remember what you told me remember what you told me remember what you told me you told me you told me shut up and put your money where your mouth is thats what you get for waking up in vegas get up and shake the glitter off your clothes now thats what you get for waking up in vegas that s what you get baby shake the glitter shake shake shake the glitter come on gimme some cash out baby gimme some cash out baby,0.0012,0.524,0.878,0,0,5,0.098,-3.108,0,55,0.0346,130.989,4,0.59,3.319783333,305,1.531224427,106,2.877358491
261,beyoncé,beyoncé knowles,24,halo,2009,,halo,beyonce,remember those walls i built well baby theyre tumbling down and they didnt even put up a fight they didnt even make up a sound i found a way to let you in but i never really had a doubt standing in the light of your halo i got my angel now its like ive been awakened every rule i had you breakin its the risk that im takin i aint never gonna shut you out everywhere im looking now im surrounded by your embrace baby i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby i can feel your halo pray it wont fade away i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo hit me like a ray of sun burning through my darkest night youre the only one that i want think im addicted to your light i swore id never fall again but this dont even feel like falling gravity cant forget to pull me back to the ground again feels like ive been awakened every rule i had you breakin the risk that im takin im never gonna shut you out everywhere im looking now im surrounded by your embrace baby i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby i can feel your halo pray it wont fade away i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo halo halo everywhere im looking now im surrounded by your embrace baby i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby i can feel your halo pray it wont fade away i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo i can feel your halo halo halo i can see your halo halo halo,0.272,0.508,0.72,0,0,11,0.0563,-5.908,0,80,0.0628,79.983,4,0.472,4.360666667,421,1.60908118,108,3.898148148
262,daughtry,daughtry,63,no surprise,2009,,no surprise,daughtry,ive practiced this for hours gon round and round and now i think that ive got it all down and as i say it louder i love how it sounds cause im not taking the easy way out not wrappin this in ribbons shouldnt have to give a reason why its no surprise i wont be here tomorrow i cant believe that i stayed til today yeah you and i will be a tough act to follow but i know in time well find this was no surprise it came out like a river once i let it out when i thought that i wouldnt know how held onto it forever just pushing it down it felt so good to let go of it now not wrapping this in ribbons shouldnt have to give a reason why its no surprise i wont be here tomorrow i cant believe that i stayed til today theres nothing here in this heart left to borrow theres nothing here in this soul left to save dont be surprised when we hate this tomorrow god knows we tried to find an easier way yeah you and i will be a tough act to follow but i know in time well find this was no surprise our favorite place we used to go the warm embrace that no one knows the lovin look thats left your eyes thats why this comes as no as no surprise if i could see the future and how this plays out i bet its better than where we are now but after going through this its easier to see the reason why its no surprise i wont be here tomorrow i cant believe that i stayed til today yeah you and i will be a tough act to follow but i know in time well find this was no surprise the kiss goodnight it comes with me both wrong and right our memories the whispering before we sleep just one more thing that you cant keep our favorite place we used to go the warm embrace that no one knows the loving look thats left your eyes but i know in time well find this was no surprise,0.00741,0.508,0.823,0,0,3,0.104,-3.711,1,56,0.031,95.98,4,0.152,4.510666667,368,1.359739876,140,2.628571429
