id,artist_all,artist_base,rank,song,year,artist_featured,song_clean,artist_clean,lyrics,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,duration_min,num_words,words_per_sec,num_uniq_words,uniq_ratio
11,nick lachey,nick lachey,54,what's left of me,2006,,whats left of me,nick lachey,watch my life pass me by in the rear view mirror pictures frozen in time are becoming clearer i dont want to waste another day stuck in the shadow of my mistakes yeah cause i want you and i feel you crawling underneath my skin like a hunger like a burning to find a place ive never been now im broken and im fading im half the man i thought i would be but you can have whats left of me ive been dying inside little by little no where to go but going out of my mind in endless circles running from myself until you gave me a reason for standing still and i want you and i feel you crawling underneath my skin like a hunger like a burning to find a place ive never been now im broken and im fading im half the man i thought i would be but you can have whats left of me falling faster barely breathing give me something to believe in tell me its not all in my head take whats left of this man make me whole once again cause i want you and i feel you crawling underneath my skin a hunger like a burning to find a place ive never been now im broken and im fading im half the man i thought i would be you can have all thats left yeah yeah yeah whats left of me ive been dying inside you see im going out my out my mind im just running in circles all the time will you take whats left will you take whats left will you take whats left of me just running in circles in my mind will you take whats left will you take whats left will you take whats left of me take whats left of me,0.136,0.421,0.728,0,0,7,0.136,-5.644,1,45,0.035,150.12,4,0.311,4.077783333,309,1.262941059,101,3.059405941
12,chris brown  featuring  lil wayne,chris brown,69,gimme that,2006,lil wayne,gimme that,chris brown,storch oh s dot yeah the dynamic duo wow womp womp womp its what your body saying chris brown is in the building the young boy just turned 16 and i got six 4s and hot bikes that i rock keep three or four sweeties on my block but all that swinging in that bikini just make em vicious slow all the traffic down to a complete stop cause you speak in that slang that i talk that sassy tempo with that walk maybe the reason that all these teenies may never see me you be talking like you like what i got i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme momma you may be 3 years older but you hot i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme ma take a break let me explain to you what your body got a young boy ready to do if you take a chance to let me put them thangs on you i could show you why i make them straight as at school im a hustler trust my frame and age got you thinking that im just too young to turn your page i can picture us switching lanes in the coupe with you on the phone screaming my name you be talking like you like what i got i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme momma you may be 3 years older but you hot i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme girl you serious and i been watching you thiss what your bodys saying hey yeah this what your bodys saying you be talking like you like what i got i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme momma you may be 3 years older but you hot i know you like it how i lean in the lac you could be in the back saying gimme gimme gimme va yeah ha yeah ma dont be fronting like you dont know whats going on aight yeah,0.00407,0.412,0.567,0,6.24E-05,11,0.11,-7.1,0,56,0.0778,174.519,4,0.422,3.113783333,395,2.114255434,139,2.841726619
13,blue october,blue october,82,hate me,2006,,hate me,blue october,if youre sleeping are you dreaming if youre dreaming are you dreaming of me i cant believe you actually picked me hi justin this is your mother and its 2 33 on monday afternoon i was just calling to see how you were doing you sounded really uptight last night it made me a little nervous and a l and well it made me nervous it sounded like you were nervous too i just wanted to make sure you were really okay and wanted to see if you were checking in on your medication you know i love you and take care honey i know youre under a lot of pressure see ya bye bye i have to block out thoughts of you so i don t lose my head they crawl in like a cockroach leaving babies in my bed dropping little reels of tape to remind me that i m alone playing movies in my head that make a porno feel like home theres a burning in my pride a nervous bleeding in my brain an ounce of peace is all i want for you will you never call again and will you never say that you loved me just to put it in my face and will you never try to reach me it is i that wanted space hate me today hate me tomorrow hate me for all the things i didnt do for you hate me in ways yeah ways hard to swallow hate me so you can finally see what s good for you i m sober now for 3 whole months it s one accomplishment that you helped me with the one thing that always tore us apart is the one thing i won t touch again in a sick way i want to thank you for holding my head up late at night while i was busy waging wars on myself you were trying to stop the fight you never doubted my warped opinions on things like suicidal hate you made me compliment myself when it was way too hard to take so i ll drive so fucking far away that i never cross your mind and do whatever it takes in your heart to leave me behind and with a sad heart i say bye to you and wave kicking shadows on the street for every mistake that i had made and like a baby boy i never was a man until i saw your blue eyes cry and i held your face in my hand and then i fell down yelling make it go away just make a smile come back and shine just like it used to be and then she whispered how can you do this to me for you for you for you if youre sleeping are you dreaming if youre dreaming are you dreaming of me i cant believe you actually picked me,0.513,0.384,0.685,0,0,4,0.098,-5.724,0,57,0.0356,92.166,4,0.202,6.336666667,487,1.280904787,211,2.308056872
14,carrie underwood,carrie underwood,78,"jesus, take the wheel",2006,,jesus take the wheel,carrie underwood,she was driving last friday on her way to cincinnati on a snow white christmas eve going home to see her mama and her daddy with the baby in the backseat fifty miles to go and she was running low on faith and gasoline it had been a long hard year she had a lot on her mind and she didnt pay attention she was going way too fast before she knew it she was spinning on a thin black sheet of glass she saw both their lives flash before her eyes she didnt even have time to cry she was so scared she threw her hands up in the air jesus take the wheel take it from my hands cause i cannot do this on my own i am letting go so give me one more chance save me from this road i am on jesus take the wheel it was still getting colder when she made it to the shoulder and the car came to a stop she cried when she saw that baby in the backseat sleeping like a rock and for the first time in a long time she bowed her head to pray she said i am sorry for the way i have been living my life i know i have got to change so from now on tonight jesus take the wheel take it from my hands cause i cannot do this on my own i am letting go so give me one more chance save me from this road i am on jesus take the wheel oh i am letting go so give me one more chance save me from this road i am on from this road i am on jesus take the wheel oh take it take it from me oh wow oh,0.665,0.359,0.518,0,0,2,0.106,-3.537,1,60,0.0302,76.572,4,0.135,3.774883333,302,1.333374541,120,2.516666667
15,teddy geiger,teddy geiger,100,for you i will (confidence),2006,,for you i will confidence,teddy geiger,wandering the streets in a world underneath it all nothing seems to be nothing tastes as sweet as what i cant have like you and the way that youre twisting your hair round your finger tonight im not afraid to tell you what i feel about you oh im gonna muster every ounce of confidence i have cannonball into the water im gonna muster up every ounce of confidence i have for you i will for you i will forgive me if i stutter from all of the clutter in my head cause i could fall asleep in those eyes like a waterbed do i seem familiar ive crossed you in hallways a thousand times no more camouflage i want to be exposed and not be afraid to fall oh im gonna muster every ounce of confidence i have cannonball into the water im gonna muster up every ounce of confidence i have for you i will for you i will you always want what you cant have but ive got to try ill muster every ounce of confidence i have for you i will for you i will if i could the lights in the mall and create a mood i would shout out your name so it echoes in every room i would thats what id do thats what id do thats what id do to get through to you yeah oh im gonna muster every ounce of confidence i have cannonball into the water im gonna muster up every ounce of confidence i have for you i will for you i will you always want what you cant have but ive got to try ill muster every ounce of confidence i have for you i will for you i will,0.0041,0.315,0.751,0,0,1,0.0984,-5.74,0,49,0.0517,119.566,4,0.272,3.814666667,293,1.280146802,100,2.93
16,timbaland  featuring  nelly furtado  and  justin timberlake,timbaland,21,give it to me,2007,nelly furtado  and  justin timberlake,give it to me,timbaland,is it going is it going is it going is it going i dont know what youre lookin for oh yeah boy come on im the type of girl that look you dead in the eye eye im real as it comes if you dont know why im fly y y y y ive seen you trying to switch it up but girl you aint that dope im the wonder woman let me go get my rope im a supermodel and mami si mami amnesty international got bangkok to montauk on lock love my ass and my abs in the video for promiscuous my style is ri dic dic diculous ulous ulous if you see us in the club well be actin real nice if you see us on the floor youll be watchin all night we aint here to hurt nobody when timbo is in the party everybody put up they hands i get a half a mil for my beats you get a couple gra a and never gon see the day that i aint got the upper hand im respected from californ i a way down to japan im a real producer and you just a piano man your songs dont top the charts i heard em im not a fa a an niggas talkin greasy im the one that gave them they chance somebody need to tell em that they cant do it like i can if you see us in the club well be actin real nice if you see us on the floor youll be watchin all night we aint here to hurt nobody could you speak up and stop mu mumbling i dont think you came in clear when youre sittin on the top its hard to hear you from way up here now i saw you tryin to act cute on tv just let me clear the air we missed you on the charts last week damn thats right you wasnt there now if se sexy never left then why is everybody on my shi i it dont hate on me just because you didnt come up with it so if you see us in the club go on and walk the other way cause our run will never be over not at least until we say if you see us in the club well be actin real nice if you see us on the floor youll be watchin all night we aint here to hurt nobody oh oh oh oh if you see us in the club well be actin real nice if you see us on the floor youll be watchin all night we aint here to hurt nobody if you see us in the club well be actin real nice if you see us on the floor youll be watchin all night we aint here to hurt nobody,0.17,0.973,0.723,1,0.000282,8,0.0863,-4.017,1,55,0.0569,110.625,4,0.751,3.90045,479,2.046772381,185,2.589189189
17,gwen stefani,gwen stefani,83,wind it up,2007,,wind it up,gwen stefani,high on the hills with the lonely goatherd lay od lay od lay he hoo he yodelled back with the girl and goatherd lay od lay od low wind it up wind it up wind it up wind it up yodellay yodallay yodel low this is the key that makes us wind up when the beat comes on the girls all line up and the boys all look but no they cant touch but the girls want to know why boys like us so much they like way we dance they like the way we work they like the way that l a m b is going cross my shirt they like the way my pants it compliments my shape they like the way we react every time we hear the every time the bass bangs realize it calls your name let the beat wind you up and dont stop til your time is up wind it up wind it up wind it up yodelay yodelay yodal low youve got to let the beat get under your skin youve got to open up and let it all in but see once it gets in the popping begins then you find out why all the boys stare see theyre trying to bite our style trying to study our approach they like the way we do it so original i guess that they are slow so they should leave the room this beat is for the clubs and cars that go every time the bass bangs realize it calls your name let the beat wind you up and dont stop til your time is up wind it up wind it up wind it up yodelay yodelay yodal low this is your moment you know your key is still tick tocking but you know theyre watching get it girl get it get it girl get it girl get it get it girl to the front to the side to the back but dont let him ride keep going girl its your night dont let him steal your light i know he thinks youre fine and stuff but does he know how to wind you up wind it up wind it up wind it up wind it up yodelay yodelay yodelay hey,0.335,0.96,0.895,0,0.000176,0,0.364,-6.899,0,48,0.0714,120.01,4,0.92,3.159783333,378,1.993807592,137,2.759124088
18,diddy  featuring  keyshia cole,puff daddy,42,last night,2007,keyshia cole,last night,puff daddy,last night i couldnt even get an answer i tried to call but my pride wouldnt let me dial and im sitting here with this blank expression and the way i feel i wanna curl up like a child if i told you once i told you twice you can see it in my eyes im all cried out with nothing to say youre everything i want it to be if you could only see your heart belongs to me i love you so much im yearning for your touch come and set me free forever yours ill be baby wont you come and take this pain away last night i couldnt even get an answer i tried to call but my pride wouldnt let me dial and im sitting here with this blank expression and the way i feel i wanna curl up like a child i need you and you need me this is so plain to see and i would never let you go and i will always love you so i will if you could only see your heart belongs to me i love you so much im yearning for your touch come and set me free forever yours ill be baby wont you come and take this pain away last night i couldnt even get an answer i tried to call but my pride wouldnt let me dial and im sitting here with this blank expression and the way i feel i wanna curl up like a child tell me what words to say to make you comeback dont break me like that and if it matters id rather stay home with you im never alone dont wanna wait til youre gone whatever you do just dont leave me last night i couldnt even get an answer i tried to call but my pride wouldnt let me dial and im sitting here with this blank expression and the way i feel i wanna curl up like a child i need you and you need me this is so plain to see and i would never let you go and i will always love you so i will if you could only see your heart belongs to me i love you so much im yearning for your touch come and set me free forever yours ill be baby wont you come and take my pain away last night i couldnt even get an answer i tried to call but my pride wouldnt let me dial and im sitting here with this blank expression and the way i feel i wanna curl up like a child why dont you pick up the phone and dial up my number and call me up baby im waiting on you why dont you pick up the phone and dial up my number just call me up baby im waiting on you,0.168,0.916,0.85,0,0.000106,3,0.0904,-5.067,0,60,0.0634,121.001,4,0.972,4.262883333,481,1.88057379,111,4.333333333
19,fergie  featuring  will.i.am,fergie,19,fergalicious,2007,will.i.am,fergalicious,fergie,listen up yall cause this is it the beat that im banging is delicious fergalicious definition make the boys go loco they want my treasures so they get their pleasures from my photo you can see me you cant squeeze me i aint easy i aint sleazy i got reasons why i tease em boys just come and go like seasons but i aint promiscuous and if you was suspicious all that shit is fictitious i blow kisses that puts them boys on rock rock and they be lining down the block just to watch what i got its so delicious im fergalicious fergalicious def fergalicious def fergalicious def fergalicious definition make them boys go crazy they always claim they know me coming to me call me stacy im the f to the e r g the i the e and cant no other lady put it down like me my body stay vicious i be up in the gym just working on my fitness hes my witness i put your boy on rock rock and he be lining down the block just to watch what i got its so delicious im fergalicious h h h h hold up check it out baby baby baby if you really want me honey get some patience maybe then youll get a taste of my tasty tasty ill be laced with lacey its so tasty tasty itll make you crazy t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty d to the e to the l i c i o u s to the d to the e to the to the to the all the time i turn around brothas gather round always looking at me up and down looking at my uhhhhh i just wanna say it now i aint trying to round up drama little mama i dont wanna take your man and i know im coming off just a little bit conceited and i keep on repeating how the boys wanna eat it but im trying to tell that i cant be treated like clientele cause they say she delicious but i aint promiscuous and if you was suspicious all that shit is fictitious i blow kisses that puts them boys on rock rock and they be lining down the block just to watch what i got four tres two uno my body stay vicious i be up in the gym just working on my fitness hes my witness i put your boy on rock rock and he be lining down the block just to watch what i got its so delicious im fergalicious im fergalicious its so delicious im fergalicious im fergalicious t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the to the to the to the to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the to the to the to the t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the s t e y girl you tasty t to the a to the to the to the to the to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the l i c i o u s to the d to the e to the to the to the to the,0.0568,0.904,0.598,1,0,8,0.111,-7.651,0,70,0.337,129.055,4,0.785,4.872883333,681,2.329216446,163,4.17791411
20,baby boy da prince,baby boy da prince,53,the way i live,2007,,the way i live,baby boy da prince,d wizzle on the track d wizzle on the track baby boy da prince this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live six months later now we re big dog status name elevated but i still act average rockin shows in dallas ball like i play for the mavericks west bank rapper and i m one of the baddest french riviera spot and i m getting in shape man i think i m super m a n without a cape man ridin all day hustlin all for the cake man i m a benjamin stack one inch taller than great danes first they made cheap ray ban like a felon i m growin up now spittin hotter than mohellans i m a steal every girl ever gon to fly i m a young little dude stay runnin from cops and marrero is the place where i got my props people love me in da hood they don t want me to stop so uhh that s the only way i know how to rock and i m a stay rappers like won t stop til i drop this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live i i s baby boy and i done it again i m ridin fly with d wizzle in cedes benz twenty two wanna ride with the ladies then red bull grey goose now the ladies bent now we go and do a thing under a shady tent and they don t question what i say cause i m a ladies pimp see this little one right here this fellow got stripes and i is represent my rail room for life money in my pocket but i still act trife while i in da club they say the parlor a int right look i m doing great that s the way i feel hustlin hard all day that s the way i live this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live this the two seat rider with the ketchup inside red pepper paint must believe my ish ride they pause like stop signs when they rollin up cause when the doors open up they open up i m lamboin it i was stashed off stage i m throwin it cause they say i m like katrina with money i blow the shhhh real been gravy three years out of da eighties solos shabo s valley animals played it commodores mirages not the nike hirages it cost 250 on up to put your foot inside this y all was wearing rocks that was my time to shine don t give me viesels y all thinkin this mcdonalds size i been fly i i i i i i i i from the crib to the ri i i i i i de fifty four inch screens 26 inches from the ceiling dude the plasma look like a projector up in da livin room homie this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live lil boy still pushin big wheels i stack my money lay low and chill don t need to work hard that s the way i feel i feel i this is the way i live ho this is the way i live ho this is the way i live ho this is the way i live ho this is the way i live ho this is the way i live i live i this is the way i she like it like it like it like it like it like it she like it like it like it like it like it like it she like it like it like it like it like it like it she like it like it like it like it like it like it oh na na na na na na na na oh na na na na na na na na oh na na na na na na na na oh na na na na na na na na groove to the jam groove to the jam groove to the jam groove to the groove to the jam groove to the jam groove to the jam groove to the groove to the groove to the jam groove to the jam groove to the jam groove to the groove to the groove to the jam groove to the jam groove to the jam,0.0176,0.876,0.448,1,0,0,0.0862,-8.303,1,53,0.267,90.019,4,0.72,5.415116667,960,2.95469165,253,3.794466403
